"Course.Year","Course.Code","Course.Name","Assessment.Attempt.Number","Assessment.Mark","Assessment.Grade","grade","AnonID"
"2015/6","MATH08066","Probability",2,68,"B","2.1","a21cd60"
"2015/6","MATH08068","Facets of Mathematics",1,48,"D","3rd","a21cd60"
"2014/5","MATH08057","Introduction to Linear Algebra",1,41,"FF","FF","ac70823f"
"2014/5","MATH08057","Introduction to Linear Algebra",2,51,"C","2.2","ac70823f"
"2014/5","MATH08058","Calculus and its Applications",1,40,"D","3rd","ac70823f"
"2014/5","MATH08059","Proofs and Problem Solving",1,39,"E","Fail","ac70823f"
"2014/5","MATH08059","Proofs and Problem Solving",2,46,"D","3rd","ac70823f"
"2014/5","PHYS08035","Mathematics for Physics 1",1,60,"B","2.1","ac70823f"
"2014/5","PHYS08036","Mathematics for Physics 2",1,48,"D","3rd","ac70823f"
"2015/6","MATH08051","Statistics (Year 2)",1,32,"E","Fail","ac70823f"
"2015/6","MATH08051","Statistics (Year 2)",2,40,"D","3rd","ac70823f"
"2015/6","MATH08063","Several Variable Calculus and Differential Equations",1,73,"A3","1st","ac70823f"
"2015/6","MATH08064","Fundamentals of Pure Mathematics",1,24,"F","Fail","ac70823f"
"2015/6","MATH08064","Fundamentals of Pure Mathematics",2,37,"E","Fail","ac70823f"
"2015/6","MATH08066","Probability",1,57,"C","2.2","ac70823f"
"2015/6","MATH08068","Facets of Mathematics",1,38,"E","Fail","ac70823f"
"2014/5","PHYS08035","Mathematics for Physics 1",1,0,"AN","AN","82034ef5"
"2014/5","PHYS08036","Mathematics for Physics 2",1,52,"C","2.2","82034ef5"
"2014/5","PHYS08035","Mathematics for Physics 1",1,70,"A3","1st","7078c0c6"
"2014/5","PHYS08036","Mathematics for Physics 2",1,60,"B","2.1","7078c0c6"
"2014/5","MATH08057","Introduction to Linear Algebra",1,18,"G","Fail","8c294688"
"2014/5","MATH08057","Introduction to Linear Algebra",2,37,"E","Fail","8c294688"
"2014/5","MATH08058","Calculus and its Applications",1,25,"F","Fail","8c294688"
